 time [ms],current channel 1
0,1.16863
0.8192,1.16861
1.6384,1.1688
2.4576,1.16884
3.2768,1.16868
4.096,1.16847
4.9152,1.16797
5.7344,1.16807
6.5536,1.16824
7.3728,1.16774
8.192,1.1671
9.0112,1.16736
9.8304,1.16755
10.6496,1.16762
11.4688,1.16708
12.288,1.16766
13.1072,1.16785
13.9264,1.16814
14.7456,1.16815
15.5648,1.16827
16.384,1.16838
17.2032,1.16842
18.0224,1.16878
18.8416,1.16903
19.6608,1.16895
20.48,1.16918
21.2992,1.16944
22.1184,1.16879
22.9376,1.1684
23.7568,1.16874
24.576,1.16879
25.3952,1.16828
26.2144,1.1678
27.0336,1.16817
27.8528,1.16775
28.672,1.16756
29.4912,1.16712
30.3104,1.1675
31.1296,1.16719
31.9488,1.16724
32.768,1.16751
33.5872,1.16711
34.4064,1.16734
35.2256,1.16718
36.0448,1.16748
36.864,1.16754
37.6832,1.16731
38.5024,1.16804
39.3216,1.16793
40.1408,1.16767
40.96,1.16822
41.7792,1.16795
42.5984,1.16787
43.4176,1.16809
44.2368,1.16771
45.056,1.16886
45.8752,1.16876
46.6944,1.16862
47.5136,1.16874
48.3328,1.1686
49.152,1.16883
49.9712,1.16868
50.7904,1.16859
51.6096,1.1677
52.4288,1.16801
53.248,1.16772
54.0672,1.16821
54.8864,1.16822
55.7056,1.16812
56.5248,1.16772
57.344,1.16764
58.1632,1.16724
58.9824,1.16751
59.8016,1.16722
60.6208,1.16734
61.44,1.16752
62.2592,1.16705
63.0784,1.16759
63.8976,1.16761
64.7168,1.16718
65.536,1.1674
66.3552,1.16728
67.1744,1.16815
67.9936,1.16793
68.8128,1.16821
69.632,1.1682
70.4512,1.16826
71.2704,1.16854
72.0896,1.16848
72.9088,1.1685
73.728,1.16832
74.5472,1.16845
75.3664,1.16828
76.1856,1.16869
77.0048,1.16833
77.824,1.16859
78.6432,1.16846
79.4624,1.16859
80.2816,1.16861
81.1008,1.16771
81.92,1.16824
82.7392,1.16767
83.5584,1.16823
84.3776,1.16788
85.1968,1.16778
86.016,1.16781
86.8352,1.16804
87.6544,1.16721
88.4736,1.16706
89.2928,1.16758
90.112,1.16747
90.9312,1.16707
91.7504,1.16755
92.5696,1.16761
93.3888,1.16827
94.208,1.1681
95.0272,1.16804
95.8464,1.16769
96.6656,1.16773
97.4848,1.16812
98.304,1.16792
99.1232,1.1678
99.9424,1.16783
100.7616,1.16825
101.5808,1.16769
102.4,1.16817
103.2192,1.16779
104.0384,1.16813
104.8576,1.16769
105.6768,1.16767
106.496,1.16801
107.3152,1.16801
108.1344,1.16732
108.9536,1.16742
109.7728,1.16719
110.592,1.16762
111.4112,1.16742
112.2304,1.16788
113.0496,1.16799
113.8688,1.16792
114.688,1.16823
115.5072,1.16842
116.3264,1.16859
117.1456,1.16882
117.9648,1.16884
118.784,1.16875
119.6032,1.16866
120.4224,1.16854
121.2416,1.1684
122.0608,1.16877
122.88,1.16835
123.6992,1.16886
124.5184,1.16824
125.3376,1.1681
126.1568,1.16809
126.976,1.16785
127.7952,1.16792
128.6144,1.16783
129.4336,1.1685
130.2528,1.16866
131.072,1.16872
131.8912,1.16875
132.7104,1.16857
133.5296,1.16851
134.3488,1.16845
135.168,1.16845
135.9872,1.16849
136.8064,1.16787
137.6256,1.16825
138.4448,1.1678
139.264,1.16799
140.0832,1.16812
140.9024,1.16817
141.7216,1.16814
142.5408,1.16804
143.36,1.16788
144.1792,1.16802
144.9984,1.16809
145.8176,1.16766
146.6368,1.16778
147.456,1.16799
148.2752,1.16811
149.0944,1.16774
149.9136,1.16819
150.7328,1.16804
151.552,1.16785
152.3712,1.16778
153.1904,1.16837
154.0096,1.16841
154.8288,1.16856
155.648,1.16887
156.4672,1.16887
157.2864,1.16835
158.1056,1.169
158.9248,1.16917
159.744,1.16912
160.5632,1.1693
161.3824,1.1693
162.2016,1.1694
163.0208,1.1692
163.84,1.16852
164.6592,1.16844
165.4784,1.16829
166.2976,1.16831
167.1168,1.16831
167.936,1.16825
168.7552,1.16782
169.5744,1.16807
170.3936,1.16801
171.2128,1.16815
172.032,1.1678
172.8512,1.1679
173.6704,1.16773
174.4896,1.16793
175.3088,1.1678
176.128,1.16806
176.9472,1.16803
177.7664,1.16818
178.5856,1.16804
179.4048,1.16859
180.224,1.16835
181.0432,1.16873
181.8624,1.16884
182.6816,1.16838
183.5008,1.16855
184.32,1.16827
185.1392,1.16844
185.9584,1.1687
186.7776,1.16841
187.5968,1.1686
188.416,1.1684
189.2352,1.16877
190.0544,1.16836
190.8736,1.16853
191.6928,1.16821
192.512,1.16794
193.3312,1.16779
194.1504,1.16816
194.9696,1.16796
195.7888,1.16803
196.608,1.16799
197.4272,1.16776
198.2464,1.16791
199.0656,1.1682
199.8848,1.1677
200.704,1.16793
201.5232,1.16814
202.3424,1.16809
203.1616,1.16814
203.9808,1.16784
204.8,1.16793
205.6192,1.16778
206.4384,1.16778
207.2576,1.16768
208.0768,1.16774
208.896,1.16775
209.7152,1.16773
210.5344,1.16814
211.3536,1.16825
212.1728,1.16802
212.992,1.16806
213.8112,1.1683
214.6304,1.16854
215.4496,1.16882
216.2688,1.16885
217.088,1.1685
217.9072,1.16857
218.7264,1.16851
219.5456,1.16836
220.3648,1.16823
221.184,1.16793
222.0032,1.16809
222.8224,1.16809
223.6416,1.1675
224.4608,1.16711
225.28,1.16753
226.0992,1.16721
226.9184,1.1672
227.7376,1.16762
228.5568,1.16731
229.376,1.16722
230.1952,1.16706
231.0144,1.16714
231.8336,1.16764
232.6528,1.16708
233.472,1.16762
234.2912,1.16759
235.1104,1.16707
235.9296,1.16756
236.7488,1.1682
237.568,1.16791
238.3872,1.16821
239.2064,1.16796
240.0256,1.168
240.8448,1.16783
241.664,1.16774
242.4832,1.16843
243.3024,1.1687
244.1216,1.16873
244.9408,1.16839
245.76,1.16879
246.5792,1.16845
247.3984,1.16846
248.2176,1.16881
249.0368,1.1688
249.856,1.16847
250.6752,1.16842
251.4944,1.16864
252.3136,1.16871
253.1328,1.16827
253.952,1.16779
254.7712,1.16809
255.5904,1.16766
256.4096,1.16794
257.2288,1.16713
258.048,1.16722
258.8672,1.16715
259.6864,1.16751
260.5056,1.16756
261.3248,1.16762
262.144,1.16733
262.9632,1.16705
263.7824,1.1671
264.6016,1.16768
265.4208,1.16776
266.24,1.16814
267.0592,1.16837
267.8784,1.16885
268.6976,1.16865
269.5168,1.16867
270.336,1.1687
271.1552,1.16843
271.9744,1.16846
272.7936,1.16827
273.6128,1.16832
274.432,1.1679
275.2512,1.16786
276.0704,1.16825
276.8896,1.16778
277.7088,1.16774
278.528,1.16797
279.3472,1.16793
280.1664,1.16803
280.9856,1.1678
281.8048,1.16808
282.624,1.16823
283.4432,1.16881
284.2624,1.16862
285.0816,1.16869
285.9008,1.16881
286.72,1.16862
287.5392,1.16861
288.3584,1.16866
289.1776,1.16886
289.9968,1.16853
290.816,1.16787
291.6352,1.16813
292.4544,1.16741
293.2736,1.16705
294.0928,1.16764
294.912,1.16682
295.7312,1.16684
296.5504,1.16699
297.3696,1.16693
298.1888,1.16593
299.008,1.16616
299.8272,1.16642
300.6464,1.16593
301.4656,1.16635
302.2848,1.16641
303.104,1.16632
303.9232,1.16606
304.7424,1.16583
305.5616,1.16588
306.3808,1.16688
307.2,1.16697
308.0192,1.16691
308.8384,1.1667
309.6576,1.16694
310.4768,1.16669
311.296,1.16716
312.1152,1.16737
312.9344,1.16706
313.7536,1.16766
314.5728,1.16814
315.392,1.16788
316.2112,1.16774
317.0304,1.16767
317.8496,1.16813
318.6688,1.1679
319.488,1.16795
320.3072,1.16791
321.1264,1.16783
321.9456,1.16822
322.7648,1.16756
323.584,1.16757
324.4032,1.16749
325.2224,1.16734
326.0416,1.16648
326.8608,1.16644
327.68,1.16699
328.4992,1.1666
329.3184,1.16655
330.1376,1.16669
330.9568,1.16651
331.776,1.16721
332.5952,1.16719
333.4144,1.16714
334.2336,1.16753
335.0528,1.16746
335.872,1.16734
336.6912,1.16742
337.5104,1.16803
338.3296,1.16797
339.1488,1.16766
339.968,1.16812
340.7872,1.16798
341.6064,1.16784
342.4256,1.16807
343.2448,1.16786
344.064,1.16793
344.8832,1.16814
345.7024,1.16784
346.5216,1.1679
347.3408,1.16719
348.16,1.16716
348.9792,1.16749
349.7984,1.16709
350.6176,1.16747
351.4368,1.1671
352.256,1.16765
353.0752,1.1682
353.8944,1.16791
354.7136,1.16773
355.5328,1.16776
356.352,1.16778
357.1712,1.16776
357.9904,1.16795
358.8096,1.16826
359.6288,1.16882
360.448,1.16874
361.2672,1.16866
362.0864,1.16825
362.9056,1.16806
363.7248,1.1682
364.544,1.16793
365.3632,1.1679
366.1824,1.1682
367.0016,1.16799
367.8208,1.16773
368.64,1.16821
369.4592,1.16771
370.2784,1.16792
371.0976,1.168
371.9168,1.1677
372.736,1.16788
373.5552,1.16824
374.3744,1.16795
375.1936,1.16796
376.0128,1.16729
376.832,1.16735
377.6512,1.16737
378.4704,1.16745
379.2896,1.16733
380.1088,1.1672
380.928,1.16677
381.7472,1.16696
382.5664,1.16654
383.3856,1.16657
384.2048,1.16675
385.024,1.16589
385.8432,1.16636
386.6624,1.1662
387.4816,1.16614
388.3008,1.16607
389.12,1.16678
389.9392,1.16704
390.7584,1.16647
391.5776,1.16662
392.3968,1.16757
393.216,1.16756
394.0352,1.16718
394.8544,1.16708
395.6736,1.16787
396.4928,1.16808
397.312,1.16755
398.1312,1.16714
398.9504,1.16727
399.7696,1.16763
400.5888,1.16647
401.408,1.16702
402.2272,1.16665
403.0464,1.16654
403.8656,1.1666
404.6848,1.16611
405.504,1.16631
406.3232,1.16672
407.1424,1.16656
407.9616,1.16683
408.7808,1.16651
409.6,1.16717
410.4192,1.16714
411.2384,1.16752
412.0576,1.16718
