 time [ms],current channel 1
0,1.09825
0.8192,1.09828
1.6384,1.09826
2.4576,1.09832
3.2768,1.09835
4.096,1.09826
4.9152,1.09829
5.7344,1.09823
6.5536,1.09814
7.3728,1.09817
8.192,1.09809
9.0112,1.09812
9.8304,1.09801
10.6496,1.09805
11.4688,1.0981
12.288,1.0981
13.1072,1.09814
13.9264,1.09824
14.7456,1.09828
15.5648,1.09826
16.384,1.09835
17.2032,1.09832
18.0224,1.09832
18.8416,1.09831
19.6608,1.09828
20.48,1.09824
21.2992,1.09816
22.1184,1.09812
22.9376,1.09806
23.7568,1.09806
24.576,1.09797
25.3952,1.09799
26.2144,1.09797
27.0336,1.09803
27.8528,1.09803
28.672,1.09807
29.4912,1.09814
30.3104,1.09822
31.1296,1.09829
31.9488,1.09836
32.768,1.09838
33.5872,1.09842
34.4064,1.09849
35.2256,1.09845
36.0448,1.0985
36.864,1.09849
37.6832,1.09841
38.5024,1.09842
39.3216,1.09838
40.1408,1.09837
40.96,1.0983
41.7792,1.09827
42.5984,1.09828
43.4176,1.09826
44.2368,1.09827
45.056,1.0983
45.8752,1.09831
46.6944,1.09833
47.5136,1.09835
48.3328,1.09835
49.152,1.09833
49.9712,1.09834
50.7904,1.09835
51.6096,1.09827
52.4288,1.09819
53.248,1.09817
54.0672,1.09804
54.8864,1.09797
55.7056,1.09794
56.5248,1.09777
57.344,1.09774
58.1632,1.0977
58.9824,1.09764
59.8016,1.09762
60.6208,1.09756
61.44,1.09757
62.2592,1.09756
63.0784,1.09753
63.8976,1.09765
64.7168,1.09763
65.536,1.09764
66.3552,1.09769
67.1744,1.09773
67.9936,1.09773
68.8128,1.09777
69.632,1.09788
70.4512,1.09783
71.2704,1.09789
72.0896,1.09793
72.9088,1.09792
73.728,1.09791
74.5472,1.09792
75.3664,1.09787
76.1856,1.09779
77.0048,1.09777
77.824,1.09765
78.6432,1.09759
79.4624,1.09753
80.2816,1.09751
81.1008,1.09746
81.92,1.09743
82.7392,1.09747
83.5584,1.09755
84.3776,1.09764
85.1968,1.09765
86.016,1.09782
86.8352,1.09784
87.6544,1.0979
88.4736,1.09806
89.2928,1.09812
90.112,1.0981
90.9312,1.09811
91.7504,1.09809
92.5696,1.0981
93.3888,1.09807
