 time [ms],current channel 1
0,2.1003
0.8192,2.09978
1.6384,2.09995
2.4576,2.10001
3.2768,2.09998
4.096,2.09992
4.9152,2.10006
5.7344,2.10007
6.5536,2.09971
7.3728,2.1008
8.192,2.10091
9.0112,2.10114
9.8304,2.10147
10.6496,2.1011
11.4688,2.10109
12.288,2.10114
13.1072,2.10152
13.9264,2.10144
14.7456,2.10107
15.5648,2.10099
16.384,2.10102
17.2032,2.10128
18.0224,2.10098
18.8416,2.10182
19.6608,2.10193
20.48,2.10175
21.2992,2.10213
22.1184,2.10262
22.9376,2.10264
23.7568,2.10268
24.576,2.10241
25.3952,2.10271
26.2144,2.10227
27.0336,2.10252
27.8528,2.10243
28.672,2.10225
29.4912,2.10199
30.3104,2.10166
31.1296,2.10162
31.9488,2.10161
32.768,2.10118
33.5872,2.10119
34.4064,2.10108
35.2256,2.10146
36.0448,2.10185
36.864,2.10177
37.6832,2.10193
38.5024,2.10193
39.3216,2.10192
40.1408,2.10158
40.96,2.10172
41.7792,2.10193
42.5984,2.10208
43.4176,2.10124
44.2368,2.10134
45.056,2.10093
45.8752,2.10109
46.6944,2.10093
47.5136,2.10095
48.3328,2.10137
49.152,2.10128
49.9712,2.10137
50.7904,2.10098
51.6096,2.10152
52.4288,2.10129
53.248,2.10138
54.0672,2.10135
54.8864,2.10132
55.7056,2.10149
56.5248,2.10116
57.344,2.10145
58.1632,2.10039
58.9824,2.10072
59.8016,2.10049
60.6208,2.10079
61.44,2.10054
62.2592,2.10113
63.0784,2.10148
63.8976,2.10113
64.7168,2.10119
65.536,2.10103
66.3552,2.10104
67.1744,2.10197
67.9936,2.10183
68.8128,2.1021
69.632,2.10165
70.4512,2.1019
71.2704,2.10168
72.0896,2.10265
72.9088,2.10269
73.728,2.10263
74.5472,2.10268
75.3664,2.10225
76.1856,2.10253
77.0048,2.10249
77.824,2.10229
78.6432,2.10255
79.4624,2.10215
80.2816,2.10253
81.1008,2.10224
81.92,2.10222
82.7392,2.10253
83.5584,2.10262
84.3776,2.10246
85.1968,2.10251
86.016,2.10222
86.8352,2.10295
87.6544,2.10336
88.4736,2.10291
89.2928,2.10294
90.112,2.10281
90.9312,2.10363
91.7504,2.10343
92.5696,2.10347
93.3888,2.10325
94.208,2.10291
95.0272,2.10313
95.8464,2.10295
96.6656,2.10267
97.4848,2.10238
98.304,2.10252
99.1232,2.10157
99.9424,2.10193
100.7616,2.10137
101.5808,2.10096
102.4,2.10109
103.2192,2.10112
104.0384,2.10034
104.8576,2.10071
105.6768,2.10086
106.496,2.10038
107.3152,2.10076
108.1344,2.10066
108.9536,2.10091
109.7728,2.10125
110.592,2.10127
111.4112,2.10144
112.2304,2.10125
113.0496,2.10153
113.8688,2.10171
114.688,2.10211
115.5072,2.10166
116.3264,2.10204
117.1456,2.10208
117.9648,2.10171
118.784,2.10199
119.6032,2.10205
120.4224,2.10178
121.2416,2.10269
122.0608,2.10257
122.88,2.1024
123.6992,2.10276
124.5184,2.10216
125.3376,2.10262
126.1568,2.10259
126.976,2.10233
127.7952,2.10267
128.6144,2.10259
129.4336,2.10268
130.2528,2.10195
131.072,2.10182
131.8912,2.10202
132.7104,2.10168
133.5296,2.10115
134.3488,2.10108
135.168,2.10097
135.9872,2.10139
136.8064,2.10058
137.6256,2.10087
138.4448,2.10056
139.264,2.10065
140.0832,2.10035
140.9024,2.10048
141.7216,2.10045
142.5408,2.10069
143.36,2.10074
144.1792,2.10068
144.9984,2.10068
145.8176,2.10064
146.6368,2.10087
147.456,2.10084
148.2752,2.1015
149.0944,2.10098
149.9136,2.10094
150.7328,2.10111
151.552,2.10156
152.3712,2.10188
153.1904,2.10162
154.0096,2.10168
154.8288,2.10185
155.648,2.10213
156.4672,2.10187
157.2864,2.10194
158.1056,2.10214
158.9248,2.10198
159.744,2.10165
160.5632,2.10096
161.3824,2.10151
162.2016,2.10143
163.0208,2.10124
163.84,2.10076
164.6592,2.10038
165.4784,2.10052
166.2976,2.10072
167.1168,2.10074
167.936,2.10092
168.7552,2.1005
169.5744,2.10041
170.3936,2.10123
171.2128,2.10095
172.032,2.10139
172.8512,2.10117
173.6704,2.10149
174.4896,2.10113
175.3088,2.10105
176.128,2.10129
176.9472,2.10151
177.7664,2.10131
178.5856,2.10125
179.4048,2.10111
180.224,2.10059
181.0432,2.10059
181.8624,2.10057
182.6816,2.10034
183.5008,2.10053
184.32,2.10073
185.1392,2.10037
185.9584,2.10041
186.7776,2.10035
187.5968,2.10077
188.416,2.1006
189.2352,2.10036
190.0544,2.10093
190.8736,2.10138
191.6928,2.10111
192.512,2.1018
193.3312,2.10209
194.1504,2.10209
194.9696,2.10157
195.7888,2.10157
196.608,2.10171
197.4272,2.10188
198.2464,2.10166
199.0656,2.10207
199.8848,2.10097
200.704,2.1011
201.5232,2.10102
202.3424,2.10127
203.1616,2.10126
203.9808,2.10127
204.8,2.10164
205.6192,2.10166
206.4384,2.10212
207.2576,2.10195
208.0768,2.10251
208.896,2.10273
209.7152,2.10276
210.5344,2.10255
211.3536,2.10155
212.1728,2.10206
212.992,2.10189
213.8112,2.10152
214.6304,2.10105
215.4496,2.10085
216.2688,2.10078
217.088,2.10082
217.9072,2.10089
218.7264,2.10086
219.5456,2.10077
220.3648,2.1006
221.184,2.10153
222.0032,2.10142
222.8224,2.10151
223.6416,2.1014
224.4608,2.10188
225.28,2.10162
226.0992,2.10199
226.9184,2.10199
227.7376,2.10168
228.5568,2.10193
229.376,2.10206
230.1952,2.10099
231.0144,2.10104
231.8336,2.10137
232.6528,2.101
233.472,2.10153
234.2912,2.101
235.1104,2.10148
235.9296,2.10153
236.7488,2.10124
237.568,2.10138
238.3872,2.10127
239.2064,2.10135
240.0256,2.10111
240.8448,2.10129
241.664,2.10055
242.4832,2.10087
243.3024,2.10047
244.1216,2.10034
244.9408,2.10037
245.76,2.10066
246.5792,2.10049
247.3984,2.10095
248.2176,2.10135
249.0368,2.10147
249.856,2.10115
250.6752,2.10118
251.4944,2.10139
252.3136,2.10107
253.1328,2.10127
253.952,2.10108
254.7712,2.1007
255.5904,2.10037
256.4096,2.10039
257.2288,2.10088
258.048,2.10089
258.8672,2.10071
259.6864,2.10081
260.5056,2.10032
261.3248,2.10067
262.144,2.10091
262.9632,2.1006
263.7824,2.10087
264.6016,2.10116
265.4208,2.1013
266.24,2.10125
267.0592,2.101
267.8784,2.10146
268.6976,2.10129
269.5168,2.10153
270.336,2.10088
271.1552,2.10087
271.9744,2.10051
272.7936,2.10082
273.6128,2.10069
274.432,2.10072
275.2512,2.10105
276.0704,2.10142
276.8896,2.101
277.7088,2.10104
278.528,2.10126
279.3472,2.10132
280.1664,2.10206
280.9856,2.10192
281.8048,2.10181
282.624,2.10162
283.4432,2.10207
284.2624,2.10203
285.0816,2.1017
285.9008,2.10157
286.72,2.10174
287.5392,2.10209
288.3584,2.1021
289.1776,2.10203
289.9968,2.10176
290.816,2.10203
291.6352,2.10154
292.4544,2.10193
293.2736,2.10134
294.0928,2.10095
294.912,2.1015
295.7312,2.10133
296.5504,2.10108
297.3696,2.1015
298.1888,2.10119
299.008,2.10142
299.8272,2.10153
300.6464,2.10131
301.4656,2.10143
302.2848,2.10141
303.104,2.10147
303.9232,2.10169
304.7424,2.10194
305.5616,2.10208
306.3808,2.10134
307.2,2.10128
308.0192,2.10117
308.8384,2.1006
309.6576,2.10092
310.4768,2.10084
311.296,2.09975
312.1152,2.1
312.9344,2.10019
313.7536,2.09957
314.5728,2.09973
315.392,2.09989
316.2112,2.09998
317.0304,2.10016
317.8496,2.10033
318.6688,2.10091
319.488,2.10096
320.3072,2.10121
321.1264,2.10204
321.9456,2.10194
322.7648,2.102
323.584,2.10208
324.4032,2.10214
325.2224,2.10205
326.0416,2.10149
326.8608,2.10112
327.68,2.10065
328.4992,2.10052
329.3184,2.10065
330.1376,2.09994
330.9568,2.10012
331.776,2.09981
332.5952,2.10031
333.4144,2.10015
334.2336,2.09978
335.0528,2.09977
335.872,2.10029
336.6912,2.10029
337.5104,2.09999
338.3296,2.09971
339.1488,2.10005
339.968,2.10078
340.7872,2.10036
341.6064,2.10069
342.4256,2.10036
343.2448,2.10083
344.064,2.10076
344.8832,2.10053
345.7024,2.10039
346.5216,2.10055
347.3408,2.10054
348.16,2.10062
348.9792,2.10068
349.7984,2.1004
350.6176,2.10051
351.4368,2.10085
352.256,2.10055
353.0752,2.10083
353.8944,2.10075
354.7136,2.09996
