 time [ms],current channel 1
0,1.10875
0.8192,1.10883
1.6384,1.10853
2.4576,1.10848
3.2768,1.10868
4.096,1.1085
4.9152,1.10951
5.7344,1.10942
6.5536,1.10913
7.3728,1.1092
8.192,1.10948
9.0112,1.11007
9.8304,1.11024
10.6496,1.11004
11.4688,1.11012
12.288,1.10994
13.1072,1.11023
13.9264,1.10998
14.7456,1.10988
15.5648,1.11018
16.384,1.10976
17.2032,1.11007
18.0224,1.10996
18.8416,1.10971
19.6608,1.10997
20.48,1.11019
21.2992,1.1102
22.1184,1.10975
22.9376,1.11014
23.7568,1.1098
24.576,1.10959
25.3952,1.10907
26.2144,1.10947
27.0336,1.10914
27.8528,1.10956
28.672,1.10918
29.4912,1.10933
30.3104,1.10934
31.1296,1.10908
31.9488,1.10933
32.768,1.10935
33.5872,1.10928
34.4064,1.10947
35.2256,1.10958
36.0448,1.10908
36.864,1.10935
37.6832,1.10921
38.5024,1.10884
39.3216,1.10898
40.1408,1.1087
40.96,1.10885
41.7792,1.10876
42.5984,1.10881
43.4176,1.10847
44.2368,1.10872
45.056,1.1089
45.8752,1.10944
46.6944,1.10917
47.5136,1.10953
48.3328,1.10921
49.152,1.10906
49.9712,1.10909
50.7904,1.10917
51.6096,1.10944
52.4288,1.10909
53.248,1.10962
54.0672,1.10869
54.8864,1.10899
55.7056,1.10888
56.5248,1.10873
57.344,1.10871
58.1632,1.10828
58.9824,1.10786
59.8016,1.10806
60.6208,1.10836
61.44,1.10839
62.2592,1.10793
63.0784,1.10821
63.8976,1.1079
64.7168,1.10843
65.536,1.1084
66.3552,1.10789
67.1744,1.10882
67.9936,1.10883
68.8128,1.10904
69.632,1.10884
70.4512,1.10935
71.2704,1.10951
72.0896,1.10928
72.9088,1.10936
73.728,1.10921
74.5472,1.10947
75.3664,1.10948
76.1856,1.10921
77.0048,1.10927
77.824,1.10925
78.6432,1.1095
79.4624,1.10958
80.2816,1.1089
81.1008,1.10882
81.92,1.10876
82.7392,1.10792
83.5584,1.10843
84.3776,1.1079
85.1968,1.10758
86.016,1.10767
86.8352,1.10769
87.6544,1.10735
88.4736,1.1075
89.2928,1.10741
90.112,1.10771
90.9312,1.10766
91.7504,1.10731
92.5696,1.1073
93.3888,1.10761
94.208,1.10781
95.0272,1.10737
95.8464,1.10775
96.6656,1.10772
97.4848,1.10744
98.304,1.10745
99.1232,1.1075
99.9424,1.10771
100.7616,1.10725
101.5808,1.10748
102.4,1.10724
103.2192,1.10735
104.0384,1.10757
104.8576,1.10774
105.6768,1.10785
106.496,1.10817
107.3152,1.10808
108.1344,1.10849
108.9536,1.10888
109.7728,1.10868
110.592,1.10855
111.4112,1.10847
112.2304,1.10946
113.0496,1.10966
113.8688,1.10926
114.688,1.10954
115.5072,1.1086
116.3264,1.10879
117.1456,1.1086
117.9648,1.10876
118.784,1.10864
119.6032,1.10899
120.4224,1.10901
121.2416,1.10888
122.0608,1.109
122.88,1.10849
123.6992,1.10797
124.5184,1.1083
125.3376,1.10825
126.1568,1.10839
126.976,1.10784
127.7952,1.10843
128.6144,1.10822
129.4336,1.10879
130.2528,1.10852
131.072,1.10888
131.8912,1.10877
132.7104,1.10848
133.5296,1.10877
134.3488,1.10847
135.168,1.10851
135.9872,1.10879
136.8064,1.1085
137.6256,1.10898
138.4448,1.10893
139.264,1.10887
140.0832,1.10883
140.9024,1.1089
141.7216,1.109
142.5408,1.1086
143.36,1.10865
144.1792,1.10862
144.9984,1.10853
145.8176,1.10872
146.6368,1.1086
147.456,1.10869
148.2752,1.10853
149.0944,1.10906
149.9136,1.1088
150.7328,1.10881
151.552,1.10895
152.3712,1.1085
153.1904,1.10847
154.0096,1.10849
154.8288,1.10891
155.648,1.10905
156.4672,1.10878
157.2864,1.10859
158.1056,1.10963
158.9248,1.1093
159.744,1.10927
160.5632,1.10923
161.3824,1.10914
162.2016,1.1095
163.0208,1.10924
163.84,1.1092
164.6592,1.10953
165.4784,1.10922
166.2976,1.10961
167.1168,1.10871
167.936,1.10862
168.7552,1.10886
169.5744,1.10883
170.3936,1.10797
171.2128,1.10811
172.032,1.10826
172.8512,1.10786
173.6704,1.10791
174.4896,1.10816
175.3088,1.10784
176.128,1.10824
176.9472,1.10833
177.7664,1.10817
178.5856,1.10829
179.4048,1.10872
180.224,1.10883
181.0432,1.10859
181.8624,1.10876
182.6816,1.1089
183.5008,1.10879
184.32,1.1091
185.1392,1.10939
185.9584,1.10913
186.7776,1.10959
187.5968,1.10908
188.416,1.10932
189.2352,1.10921
190.0544,1.10954
190.8736,1.10957
191.6928,1.1091
192.512,1.10858
193.3312,1.10862
194.1504,1.10887
194.9696,1.10881
195.7888,1.1088
196.608,1.10883
197.4272,1.109
198.2464,1.10899
199.0656,1.10885
199.8848,1.10878
200.704,1.1087
201.5232,1.10855
202.3424,1.10885
203.1616,1.10794
203.9808,1.1083
204.8,1.10842
205.6192,1.10808
206.4384,1.10812
207.2576,1.10838
208.0768,1.10821
208.896,1.10829
209.7152,1.10811
210.5344,1.10841
211.3536,1.10812
212.1728,1.10803
212.992,1.108
213.8112,1.10835
214.6304,1.10809
215.4496,1.10724
216.2688,1.10733
217.088,1.10753
217.9072,1.10754
218.7264,1.10758
219.5456,1.10763
220.3648,1.10755
221.184,1.10756
222.0032,1.10755
222.8224,1.10748
223.6416,1.10779
224.4608,1.1081
225.28,1.1082
226.0992,1.10844
226.9184,1.10837
227.7376,1.10874
228.5568,1.10871
229.376,1.10937
230.1952,1.10964
231.0144,1.11016
231.8336,1.10968
232.6528,1.11089
233.472,1.11053
234.2912,1.1106
235.1104,1.11117
235.9296,1.11107
236.7488,1.1114
237.568,1.11138
238.3872,1.11126
239.2064,1.11103
240.0256,1.11055
240.8448,1.11074
241.664,1.11064
242.4832,1.10985
243.3024,1.11012
244.1216,1.11002
244.9408,1.10942
245.76,1.10924
246.5792,1.10879
247.3984,1.109
248.2176,1.10867
249.0368,1.10851
249.856,1.10846
250.6752,1.10884
251.4944,1.10898
252.3136,1.10885
253.1328,1.10858
253.952,1.10876
254.7712,1.10898
255.5904,1.10871
256.4096,1.10895
257.2288,1.10884
258.048,1.10885
258.8672,1.10865
259.6864,1.10882
260.5056,1.10827
261.3248,1.10839
262.144,1.10824
262.9632,1.10804
263.7824,1.10882
264.6016,1.1089
265.4208,1.10897
266.24,1.10902
267.0592,1.10855
267.8784,1.10854
268.6976,1.10906
269.5168,1.10914
270.336,1.10913
271.1552,1.10929
271.9744,1.1093
272.7936,1.10908
273.6128,1.10895
274.432,1.10864
275.2512,1.10897
276.0704,1.1089
276.8896,1.10872
277.7088,1.10842
278.528,1.10829
279.3472,1.10799
280.1664,1.10816
280.9856,1.1082
281.8048,1.10794
282.624,1.10807
283.4432,1.10791
284.2624,1.10794
285.0816,1.10819
285.9008,1.10801
286.72,1.1082
287.5392,1.1085
288.3584,1.10901
289.1776,1.10868
289.9968,1.1085
290.816,1.1096
291.6352,1.10917
292.4544,1.10906
293.2736,1.10936
294.0928,1.10922
294.912,1.1096
295.7312,1.10953
296.5504,1.1089
297.3696,1.10896
298.1888,1.10863
299.008,1.10819
299.8272,1.10816
300.6464,1.10764
301.4656,1.10764
302.2848,1.10767
303.104,1.10769
303.9232,1.10743
304.7424,1.10773
305.5616,1.10724
306.3808,1.10821
307.2,1.10818
308.0192,1.10847
308.8384,1.10854
