 time [ms],current channel 1
0,1.18492
0.8192,1.18496
1.6384,1.1852
2.4576,1.18493
3.2768,1.18529
4.096,1.18465
4.9152,1.18447
5.7344,1.18424
6.5536,1.18462
7.3728,1.18453
8.192,1.18457
9.0112,1.18423
9.8304,1.18449
10.6496,1.18451
11.4688,1.1842
12.288,1.18501
13.1072,1.18492
13.9264,1.18534
14.7456,1.18477
15.5648,1.18548
16.384,1.18553
17.2032,1.18559
18.0224,1.1856
18.8416,1.18556
19.6608,1.18532
20.48,1.18531
21.2992,1.18525
22.1184,1.18511
22.9376,1.18507
23.7568,1.18535
24.576,1.18521
25.3952,1.18449
26.2144,1.18461
27.0336,1.18469
27.8528,1.18423
28.672,1.18419
29.4912,1.18454
30.3104,1.18459
31.1296,1.18472
31.9488,1.18459
32.768,1.18467
33.5872,1.18434
34.4064,1.18464
35.2256,1.18376
36.0448,1.18377
36.864,1.18384
37.6832,1.1837
38.5024,1.18403
39.3216,1.18462
40.1408,1.18437
40.96,1.1843
41.7792,1.18458
42.5984,1.18468
43.4176,1.18422
44.2368,1.18439
45.056,1.18481
45.8752,1.18487
46.6944,1.1852
47.5136,1.18519
48.3328,1.18488
49.152,1.18535
49.9712,1.18497
50.7904,1.18522
51.6096,1.18526
52.4288,1.18519
53.248,1.18504
54.0672,1.185
54.8864,1.1848
55.7056,1.18478
56.5248,1.18519
57.344,1.1851
58.1632,1.18491
58.9824,1.18442
59.8016,1.18432
60.6208,1.18459
61.44,1.18364
62.2592,1.1836
63.0784,1.18328
63.8976,1.18323
64.7168,1.18345
65.536,1.18294
66.3552,1.18293
67.1744,1.18296
67.9936,1.18348
68.8128,1.18304
69.632,1.18375
70.4512,1.18379
71.2704,1.18367
72.0896,1.18381
72.9088,1.18355
73.728,1.18387
74.5472,1.18407
75.3664,1.18395
76.1856,1.18404
77.0048,1.18359
77.824,1.18407
78.6432,1.18294
79.4624,1.18316
80.2816,1.18321
81.1008,1.1838
81.92,1.18361
82.7392,1.18394
83.5584,1.18381
84.3776,1.18367
85.1968,1.18365
86.016,1.18384
86.8352,1.18405
87.6544,1.18355
88.4736,1.18396
89.2928,1.18353
90.112,1.18401
90.9312,1.18424
91.7504,1.18431
92.5696,1.18452
93.3888,1.18464
94.208,1.1846
95.0272,1.18427
95.8464,1.18443
96.6656,1.1846
97.4848,1.18484
98.304,1.18525
99.1232,1.18531
99.9424,1.18476
100.7616,1.18469
101.5808,1.18447
102.4,1.18442
103.2192,1.18459
104.0384,1.18437
104.8576,1.18415
105.6768,1.18456
106.496,1.18424
107.3152,1.18356
108.1344,1.18372
108.9536,1.18397
109.7728,1.18404
110.592,1.18371
111.4112,1.18406
112.2304,1.18413
113.0496,1.18358
113.8688,1.18406
114.688,1.1836
115.5072,1.1846
116.3264,1.18441
117.1456,1.18446
117.9648,1.18449
118.784,1.18462
119.6032,1.18456
120.4224,1.18414
121.2416,1.18443
122.0608,1.18428
122.88,1.18475
123.6992,1.18452
124.5184,1.184
125.3376,1.18409
126.1568,1.18399
126.976,1.18391
127.7952,1.18366
128.6144,1.18404
129.4336,1.18372
130.2528,1.18386
131.072,1.18364
131.8912,1.18406
132.7104,1.18378
133.5296,1.18363
134.3488,1.18393
135.168,1.18396
135.9872,1.18408
136.8064,1.1838
137.6256,1.18372
138.4448,1.18393
139.264,1.18406
140.0832,1.18365
140.9024,1.18406
141.7216,1.1837
142.5408,1.18413
143.36,1.18376
144.1792,1.18386
144.9984,1.1844
145.8176,1.18456
146.6368,1.18458
147.456,1.18441
148.2752,1.18515
149.0944,1.18484
149.9136,1.18535
150.7328,1.18534
151.552,1.18518
152.3712,1.18529
153.1904,1.18523
154.0096,1.18496
154.8288,1.18514
155.648,1.18513
156.4672,1.18512
157.2864,1.18514
158.1056,1.18485
158.9248,1.18508
159.744,1.18491
160.5632,1.18492
161.3824,1.18505
162.2016,1.18579
163.0208,1.18579
163.84,1.18567
164.6592,1.18545
165.4784,1.18571
166.2976,1.18564
167.1168,1.18571
167.936,1.18543
168.7552,1.18592
169.5744,1.18595
170.3936,1.1854
171.2128,1.18574
172.032,1.18516
172.8512,1.18486
173.6704,1.18513
174.4896,1.18498
175.3088,1.1844
176.128,1.18451
176.9472,1.1844
177.7664,1.18434
178.5856,1.18469
179.4048,1.1846
180.224,1.18471
181.0432,1.18447
181.8624,1.18467
182.6816,1.18436
183.5008,1.18431
184.32,1.18473
185.1392,1.1843
185.9584,1.18473
186.7776,1.18453
187.5968,1.18454
188.416,1.18444
189.2352,1.18459
190.0544,1.18445
190.8736,1.18422
191.6928,1.18459
192.512,1.18414
193.3312,1.18444
194.1504,1.18435
194.9696,1.18426
195.7888,1.18466
196.608,1.18425
197.4272,1.1844
198.2464,1.18473
199.0656,1.18432
199.8848,1.18431
200.704,1.18433
201.5232,1.18444
202.3424,1.18442
203.1616,1.18456
203.9808,1.18432
204.8,1.18435
205.6192,1.18462
206.4384,1.18429
207.2576,1.18472
208.0768,1.18474
208.896,1.18402
209.7152,1.18361
210.5344,1.18372
211.3536,1.18401
212.1728,1.18395
212.992,1.18454
213.8112,1.1844
214.6304,1.18415
215.4496,1.18443
216.2688,1.18434
217.088,1.18429
217.9072,1.18444
218.7264,1.18433
219.5456,1.18472
220.3648,1.18526
221.184,1.18497
222.0032,1.18535
222.8224,1.18498
223.6416,1.18508
224.4608,1.18528
225.28,1.18483
226.0992,1.1851
226.9184,1.18509
227.7376,1.18505
228.5568,1.18533
229.376,1.18427
230.1952,1.18437
231.0144,1.18433
231.8336,1.18411
232.6528,1.18407
233.472,1.183
234.2912,1.18314
235.1104,1.18343
235.9296,1.18277
236.7488,1.18286
237.568,1.18281
238.3872,1.18235
239.2064,1.18344
240.0256,1.18299
240.8448,1.18348
241.664,1.18359
242.4832,1.18392
243.3024,1.18464
244.1216,1.18456
244.9408,1.18454
245.76,1.18514
246.5792,1.18522
247.3984,1.18492
248.2176,1.18522
249.0368,1.18488
249.856,1.18479
250.6752,1.1848
251.4944,1.18525
252.3136,1.18482
253.1328,1.18517
253.952,1.18477
254.7712,1.18455
255.5904,1.18472
256.4096,1.18423
257.2288,1.18439
258.048,1.1842
258.8672,1.18465
259.6864,1.18418
260.5056,1.18473
261.3248,1.18452
262.144,1.18429
262.9632,1.18471
263.7824,1.18446
264.6016,1.18439
265.4208,1.18362
266.24,1.18371
267.0592,1.18399
267.8784,1.18409
268.6976,1.18377
269.5168,1.18373
270.336,1.18382
271.1552,1.18463
271.9744,1.18436
272.7936,1.18446
273.6128,1.18438
274.432,1.18421
275.2512,1.18451
276.0704,1.18456
276.8896,1.18414
277.7088,1.18392
278.528,1.18396
279.3472,1.1836
280.1664,1.18342
280.9856,1.18301
281.8048,1.183
282.624,1.18348
283.4432,1.1833
284.2624,1.1834
285.0816,1.18339
285.9008,1.18411
286.72,1.18359
287.5392,1.18398
288.3584,1.1845
289.1776,1.1847
289.9968,1.18493
290.816,1.18495
291.6352,1.18526
292.4544,1.18481
293.2736,1.18522
294.0928,1.18482
294.912,1.18428
295.7312,1.18437
